dong_code,region_name,school,subway,hospital,cafe,total_score
2620011100,부산광역시 영도구 영선동4가,37,15,221,405,966
2620011200,부산광역시 영도구 신선동1가,60,57,463,754,1971
2620011300,부산광역시 영도구 신선동2가,58,49,440,680,1823
2620011400,부산광역시 영도구 신선동3가,35,36,267,515,1227
2620011500,부산광역시 영도구 봉래동1가,63,74,531,850,2260
2620011600,부산광역시 영도구 봉래동2가,62,78,508,818,2192
2620011700,부산광역시 영도구 봉래동3가,62,60,480,780,2044
2620011800,부산광역시 영도구 봉래동4가,50,55,375,710,1725
2620011900,부산광역시 영도구 봉래동5가,47,46,370,692,1664
2620012000,부산광역시 영도구 청학동,35,28,192,395,933
2620012100,부산광역시 영도구 동삼동,28,527,94,170,1995
2623010100,부산광역시 부산진구 양정동,80,143,1082,1385,4138
2623010200,부산광역시 부산진구 전포동,72,135,1080,1287,3996
2623010300,부산광역시 부산진구 부전동,19,56,552,706,2016
2623010400,부산광역시 부산진구 범천동,84,124,1051,1214,3856
2623010500,부산광역시 부산진구 범전동,78,153,1134,1314,4197
2623010600,부산광역시 부산진구 연지동,82,122,1046,1266,3888
2623010700,부산광역시 부산진구 초읍동,74,94,924,983,3261
2623010800,부산광역시 부산진구 부암동,56,26,293,277,1053
2623010900,부산광역시 부산진구 당감동,69,37,405,348,1407
2623011000,부산광역시 부산진구 가야동,81,104,988,866,3316
2623011100,부산광역시 부산진구 개금동,61,52,350,366,1344
2626010100,부산광역시 동래구 명장동,103,98,950,921,3321
2626010200,부산광역시 동래구 안락동,118,118,963,1007,3523
2626010300,부산광역시 동래구 칠산동,120,145,1173,1226,4247
2626010400,부산광역시 동래구 낙민동,124,164,1212,1260,4424
2626010500,부산광역시 동래구 복천동,115,144,1129,1251,4171
2626010600,부산광역시 동래구 수안동,131,170,1183,1231,4369
2626010700,부산광역시 동래구 명륜동,99,140,969,1122,3678
2626010800,부산광역시 동래구 온천동,82,107,702,879,2768
2626010900,부산광역시 동래구 사직동,91,113,779,782,2861
2629010600,부산광역시 남구 대연동,57,72,673,924,2600
2629010700,부산광역시 남구 용호동,17,7,214,324,807
2629010800,부산광역시 남구 용당동,42,27,449,482,1545
2629010900,부산광역시 남구 문현동,64,124,1035,1222,3792
2629011000,부산광역시 남구 우암동,53,78,521,594,1976
2629011100,부산광역시 남구 감만동,31,17,330,294,1067
2632010100,부산광역시 북구 금곡동,42,25,141,166,607
2632010200,부산광역시 북구 화명동,45,48,285,262,1066
2632010300,부산광역시 북구 만덕동,59,45,338,291,1220
2632010400,부산광역시 북구 덕천동,69,61,403,363,1490
2632010500,부산광역시 북구 구포동,57,64,329,307,1271
2635010100,부산광역시 해운대구 반송동,17,25,63,65,300
2635010200,부산광역시 해운대구 석대동,20,30,125,123,503
2635010300,부산광역시 해운대구 반여동,55,37,358,359,1296
2635010400,부산광역시 해운대구 재송동,78,80,641,738,2416
2635010500,부산광역시 해운대구 우동,55,85,644,808,2461
2714013400,대구광역시 동구 도학동,63,4,0,14,152
2714013500,대구광역시 동구 백안동,3,188,1,15,587
2714013600,대구광역시 동구 미곡동,3,193,1,12,599
2635010600,부산광역시 해운대구 중동,3,44,96,496,826
2635010700,부산광역시 해운대구 좌동,27,40,296,380,1146
2635010800,부산광역시 해운대구 송정동,2,22,166,283,685
2638010100,부산광역시 사하구 괴정동,66,86,592,528,2102
2638010200,부산광역시 사하구 당리동,68,65,373,383,1460
2638010300,부산광역시 사하구 하단동,44,31,214,279,888
2638010400,부산광역시 사하구 신평동,52,65,362,356,1379
2638010500,부산광역시 사하구 장림동,49,45,189,204,815
2638010600,부산광역시 사하구 다대동,26,28,149,148,582
2638010700,부산광역시 사하구 구평동,62,62,325,325,1285
2638010800,부산광역시 사하구 감천동,66,84,553,736,2226
2641010100,부산광역시 금정구 두구동,7,12,4,32,90
2641010200,부산광역시 금정구 노포동,12,23,41,103,278
2641010300,부산광역시 금정구 청룡동,8,15,30,69,190
2641010400,부산광역시 금정구 남산동,18,37,163,188,661
2641010500,부산광역시 금정구 선동,18,37,165,188,665
2641010600,부산광역시 금정구 오륜동,3,14,68,58,242
2641010700,부산광역시 금정구 구서동,28,38,236,423,1065
2641010800,부산광역시 금정구 장전동,36,37,381,598,1543
2641010900,부산광역시 금정구 부곡동,35,43,420,584,1623
2641011000,부산광역시 금정구 서동,6,83,722,889,2594
2641011100,부산광역시 금정구 금사동,63,60,511,621,1949
2641011200,부산광역시 금정구 회동동,19,25,129,133,504
2641011300,부산광역시 금정구 금성동,8,640,32,91,2091
2644010100,부산광역시 강서구 대저1동,26,48,180,186,742
2644010200,부산광역시 강서구 대저2동,18,26,61,165,401
2644010300,부산광역시 강서구 강동동,17,20,6,51,157
2644010400,부산광역시 강서구 명지동,22,0,100,255,499
2644010500,부산광역시 강서구 죽림동,3,9,32,89,186
2644010600,부산광역시 강서구 식만동,12,18,46,120,290
2644010700,부산광역시 강서구 죽동동,10,3,17,66,129
2644010800,부산광역시 강서구 봉림동,4,250,1,15,775
2644010900,부산광역시 강서구 송정동,14,78,19,78,378
2644011000,부산광역시 강서구 화전동,11,113,14,77,466
2644011100,부산광역시 강서구 녹산동,7,229,16,96,829
2644011200,부산광역시 강서구 생곡동,3,205,1,46,669
2644011300,부산광역시 강서구 구랑동,2,116,5,20,382
2644011400,부산광역시 강서구 지사동,6,37,11,33,178
2644011500,부산광역시 강서구 미음동,2,141,6,35,474
2644011600,부산광역시 강서구 범방동,1,227,1,32,717
2644011700,부산광역시 강서구 신호동,19,138,58,168,736
2644011800,부산광역시 강서구 동선동,3,34,0,12,120
2644011900,부산광역시 강서구 성북동,2,0,0,16,20
2644012000,부산광역시 강서구 눌차동,4,72,6,24,260
2644012100,부산광역시 강서구 천성동,3,5,0,23,44
2644012200,부산광역시 강서구 대항동,1,0,0,12,14
2647010100,부산광역시 연제구 거제동,106,154,993,1088,3748
2647010200,부산광역시 연제구 연산동,102,155,1012,1118,3811
2650010100,부산광역시 수영구 망미동,75,156,1014,1247,3893
2650010200,부산광역시 수영구 수영동,69,103,742,1014,2945
2650010300,부산광역시 수영구 민락동,47,95,660,898,2597
2650010400,부산광역시 수영구 광안동,57,109,764,1056,3025
2650010500,부산광역시 수영구 남천동,45,65,684,900,2553
2653010100,부산광역시 사상구 삼락동,41,50,163,311,869
2653010200,부산광역시 사상구 모라동,52,45,224,301,988
2653010300,부산광역시 사상구 덕포동,46,38,181,301,869
2653010400,부산광역시 사상구 괘법동,48,52,277,349,1155
2653010500,부산광역시 사상구 감전동,44,43,275,310,1077
2653010600,부산광역시 사상구 주례동,57,50,371,434,1440
2653010700,부산광역시 사상구 학장동,44,34,276,325,1067
2653010800,부산광역시 사상구 엄궁동,30,21,236,229,824
2671025000,부산광역시 기장군 기장읍,19,6,97,218,468
2671025021,부산광역시 기장군 기장읍 동부리,19,6,124,191,495
2714013300,대구광역시 동구 진인동,3,135,1,17,430
3020015000,대전광역시 유성구 금탄동,152,8,0,6,334
3020015100,대전광역시 유성구 신동,2,34,1,16,124
2671025022,부산광역시 기장군 기장읍 교리,4,6,123,16,288
