sigungu_code,region_name,school,subway,hospital,cafe,academy,department,convenience,culture,total_score
5177000000,강원특별자치도 정선군,5,0,11,33,11,3,14,5,82
5176000000,강원특별자치도 평창군,3,0,7,24,12,2,8,2,58
5175000000,강원특별자치도 영월군,9,0,16,69,36,3,32,6,171
5173000000,강원특별자치도 횡성군,6,0,25,72,37,3,21,4,168
5172000000,강원특별자치도 홍천군,7,0,43,106,55,5,37,4,257
5121000000,강원특별자치도 속초시,8,0,88,211,67,5,95,11,485
5123000000,강원특별자치도 삼척시,11,0,32,112,54,9,53,12,283
5119000000,강원특별자치도 태백시,10,0,33,59,48,4,33,4,191
5117000000,강원특별자치도 동해시,8,0,52,111,96,5,51,6,329
5115000000,강원특별자치도 강릉시,12,0,134,345,310,3,106,21,931
5113000000,강원특별자치도 원주시,16,0,115,232,292,6,85,3,749
5111000000,강원특별자치도 춘천시,25,2,150,378,231,4,153,22,965
